	RQ1. Symptoms				RQ2. Causes		RQ3. Repairs		RQ4. Impacts
ATLAS-1057	Build break	3. Build and testing error	none	none	"I get an error building titan which looks like a dependancy issue. 

Error resolving project artifact: Could not transfer artifact org.restlet.jee:org.restlet:pom:2.3.0 from/to apache.snapshots.repo

 this is a download that is taking too long.
This indicates that repeating the build worked. It fails for me still - but I am using -clean which would wipe any downloaded files."	4.3 Problems in languages	I successfully rebuilt without -clean	"2.3 Modifying build files or options
"	
ASTERIXDB-1767	Excessive log output for integration tests	7. Warning-style error	none	none	The log level was lowered but it might be better to have less stuff print at INFO overall.	2.7 Problems in settings	The log level was lowered	2.2 Modifying my settings	https://asterixdb.apache.org/docs/0.9.4.1/ncservice.html
ASTERIXDB-1675	all functions on Documentation will throw this error. 	1. Crash	none	none	I guess that maybe there is something changed in the Metadata format that I need to reingest the data?	3.3 Incorrect inputs	"build again

CREATE DATAVERSE Default;"	"2.3 Modifying build files or options
"	
ASTERIXDB-1518	Integration test keeps restarting instance in asterix-yarn tests	3. Build and testing error	none	none	"I believe this is fixed, was related to storage artifacts not being cleaned in the job."	2.7 Problems in settings	"I believe this is fixed, was related to storage artifacts not being cleaned in the job."	"2.3 Modifying build files or options
"	
ARTEMIS-2184	AIO does not start on tmpfs: RuntimeException	1. Crash	none	none	"O_DIRECT flag is unsupported on tmpfs.

AIO requires O_DIRECT. If you want to put the journal on tmpfs then I recommend trying NIO."	4.4 Incorrect techniques	AIO requires O_DIRECT. If you want to put the journal on tmpfs then I recommend trying NIO.	4.3 Switching to other techniques	https://activemq.apache.org/components/artemis/documentation/1.0.0/running-server.html
ARTEMIS-2132	Multicast consumer via HTTP transport: AMQ212037 Connection failure has been detected	2. Unexpected behavior	none	none	"Some quick testing indicates this failure was introduced in 2.6.2 which
means if you use 2.6.1 it should work."	2.4 Recurring problems	"Downgrade to Artemis 2.6.1
Configure confirmationWindowSize to something greater than 0 in the ConnectionFactory URL"	"3.2 Switching to older versions
2.2 Modifying my settings"	https://activemq.apache.org/components/artemis/documentation/2.8.0/clusters.html
ARROW-5539	"Tests run: 6, Failures: 0, Errors: 2, Skipped: 0,"	3. Build and testing error	none	none	Not sure what the underlying issue is	2.3 Flaky problems	"Generally I do ""mvn clean install"" when I get this.

You're right, that worked."	"2.3 Modifying build files or options
"	
ARROW-192	some classes under package arrow Vector has compiling error	3. Build and testing error	none	none	some classes under package arrow Vector has compiling error because some dependency class cannot be resolved	2.7 Problems in settings	"As a workaround, ou can run manually mvn generate-sources to create those, and refresh your project in the IDE."	"2.3 Modifying build files or options
"	
AMQ-6976	GC goes crazy under load. Heap is filled up with TransportConnectionState objects	6. Performance issue	none	none	"We figured out that we were using several connection factories for different queues/topics together with the ""is-same-rm-override"" flag NOT set."	3.1 Problems in my libraries	"We figured out that we were using several connection factories for different queues/topics together with the ""is-same-rm-override"" flag NOT set.
If we enable this flag by setting it to false, everything works fine."	3.4 Modifying the settings of libraries	
AMQ-6231	AbortSlowConsumer Strategy Inaccurate	2. Unexpected behavior	none	none	For this case it would be better to use the AbortSlowAckConsumerStrategy instead.	4.4 Incorrect techniques	 it would be better to use the AbortSlowAckConsumerStrategy instead.	4.3 Switching to other techniques	
AMQ-6162	"DLQ'd message does not get DLQ'd again until broker restart

message seems lost"	2. Unexpected behavior	none	none	"If you restart the broker between step 5 and step 6, the message does get DLQ'd to DLQ1 again.

The message will be filtered as a duplicate when the rollback attempts to place it back onto the DLQ1 queue in the no restart case."	2.5 Borderline cases	" the duplicates tracking should probably roll back the audit to allow the message to cycle again. 

You can work around this by disabling the Audit for your dead letter strategies which will prevent the tiered DLQ's from filtering out the message on repeated cycles through them.

I have disabled audit for the DLQs and the messages cycle through as expected now."	2.2 Modifying my settings	https://activemq.apache.org/message-redelivery-and-dlq-handling
AMQ-5702	REST production of message bodies can result in IllegalStateException	1. Crash	none	none	"On your GitHub code you set

If strMethod = ""POST"" Then
objWinHttp.SetRequestHeader ""Content-type"", _
""application/x-www-form-urlencoded""
End If

on the Wiki this issue is addressed by setting the header as:

""Content-Type: text/plain"""	3.3 Incorrect inputs	"On your GitHub code you set

If strMethod = ""POST"" Then
objWinHttp.SetRequestHeader ""Content-type"", _
""application/x-www-form-urlencoded""
End If

on the Wiki this issue is addressed by setting the header as:

""Content-Type: text/plain"""	3.11 Modifying input format	https://cwiki.apache.org/confluence/display/ACTIVEMQ/REST
AMBARI-15971	"Exception in ambari-metrics-collector.log,can't find java class"	1. Crash	none	none	"It seems lack of phoenix-HBase-server jar.And When put this jar in /usr/lib/ams-hbase/lib diractory, exception gone."	2.7 Problems in settings	"It seems lack of phoenix-HBase-server jar.And When put this jar in /usr/lib/ams-hbase/lib diractory, exception gone."	"2.3 Modifying build files or options
"	
AIRFLOW-884	SlackAPIPostOperator works inconsistently across two DAGs / Python scripts.	2. Unexpected behavior	none	none		2.3 Flaky problems		1.2 Unfixed problems	
AIRFLOW-522	python setup.py develop is not working on master	1. Crash	none	none	"Finished processing dependencies for airflow==1.7.2.dev0

but the CLI requires 1.7.1.3

pkg_resources.DistributionNotFound: The 'airflow==1.7.1.3' distribution was not found and is required by the applicati......"	2.7 Problems in settings		"2.3 Modifying build files or options
"	
AIRFLOW-436	"Found that when .format is used in a templatable field, it produces weird results. "	2. Unexpected behavior	none	none	By definition the default Jinja templating and string.format() are incompatible;	3.2 Problems in my clients	I suggest to use `string.Template` class instead of `string.format()` method to not conflict with the Jinja renderer	3.9 Modifying API calls	
AIRFLOW-43	I attempted to start this using `airflow trigger_dag NAME` but the tasks never run. 	1. Crash	none	none	"UTC ¨C yes in DB, no on the OS. Didn't realize this was a requirement. 

We know this can occur when the entire system is not running in UTC. Running in UTC everywhere is a current requirement of running Airflow."	4.1 Problems in operating systems	"UTC ¨C yes in DB, no on the OS. Didn't realize this was a requirement. 

We know this can occur when the entire system is not running in UTC. Running in UTC everywhere is a current requirement of running Airflow."	4.1 Modifying operating systems	"https://airflow.apache.org/docs/stable/changelog.html

https://cwiki.apache.org/confluence/display/AIRFLOW/Common+Pitfalls"
AIRFLOW-217	 I have configured all the settings but still it is not running the job. 	1. Crash	none	none	We were running different versions of Airflow on master and worker.	2.7 Problems in settings	Now we are using Ubuntu instances with same versions of Airflow on master and workers.	2.3 Modifying build files or options	
